Date,Price
28/10/2022,
29/10/2022,
30/10/2022,
31/10/2022,
1/11/2022,4045.00
2/11/2022,4204.00
3/11/2022,4190.00
4/11/2022,4188.50
5/11/2022,
6/11/2022,
7/11/2022,4212.50
8/11/2022,4180.00
9/11/2022,4134.50
10/11/2022,4042.50
11/11/2022,4173.00
12/11/2022,
13/11/2022,
14/11/2022,4023.00
15/11/2022,4009.50
16/11/2022,3974.50
17/11/2022,3826.50
18/11/2022,
19/11/2022,
20/11/2022,
21/11/2022,3847.00
22/11/2022,3962.50
23/11/2022,4018.00
24/11/2022,4073.00
25/11/2022,4020.00
26/11/2022,
27/11/2022,
28/11/2022,
29/11/2022,4158.00
30/11/2022,4089.50
1/12/2022,4071.00
2/12/2022,3991.50
3/12/2022,
4/12/2022,
5/12/2022,4004.00
6/12/2022,3970.00
7/12/2022,3985.50
8/12/2022,3933.50
9/12/2022,3964.50
10/12/2022,
11/12/2022,
12/12/2022,3808.00
13/12/2022,3896.50
14/12/2022,3889.00
15/12/2022,3906.00
16/12/2022,3907.00
17/12/2022,
18/12/2022,
19/12/2022,3916.00
20/12/2022,3893.00
21/12/2022,3901.50
22/12/2022,3886.50
23/12/2022,3890.50
24/12/2022,
25/12/2022,
26/12/2022,
27/12/2022,4020.00
28/12/2022,4045.50
29/12/2022,
30/12/2022,
31/12/2022,
